t,x,y,vx,vy,V
51.6172,18.6117,3.4516,0.364703,-16.0872,16.0913
51.6172,1.54646,3.35903,-4.18183,3.24402,5.29257
51.6172,6.51131,13.8156,10.416,2.15892,10.6374
51.6172,14.5521,2.17077,1.21697,-7.66033,7.75639
51.6172,2.31075,10.9347,-1.615,6.62053,6.81467
51.6172,17.0983,8.31935,-3.13167,-6.41916,7.14233
51.6172,15.1416,11.1625,-7.24845,-9.20667,11.7176
51.6172,4.93126,3.38228,1.53607,-1.82767,2.38744
51.6172,4.06897,18.8325,9.5981,-7.66625,12.2839
51.6172,4.69081,6.82061,4.72675,8.82602,10.012
51.6172,13.2727,15.2635,-12.9553,-1.07637,12.9999
51.6172,9.54835,4.03757,-1.34985,-7.82912,7.94464
51.6172,9.43431,15.1531,-1.62067,-3.28123,3.65965
51.6172,18.6489,5.70677,13.7742,6.98142,15.4425
51.6172,9.93682,6.93647,-9.92995,6.48794,11.8616
51.6172,5.39019,1.22812,-7.91059,-6.36416,10.1528
51.9173,10.9163,10.2563,-3.8534,-0.279019,3.86349
51.9173,16.3059,15.3417,-13.4265,4.10395,14.0397
51.9173,13.5684,8.5954,3.81542,-10.2987,10.9827
51.9173,1.15438,5.67602,-1.63944,14.8455,14.9357
51.9173,2.21301,1.12838,-0.223362,-3.33785,3.34531
51.9173,2.26975,16.7689,4.89465,10.8715,11.9225
51.9173,11.4402,14.2875,-6.00284,-10.4076,12.0147
51.9173,8.20183,8.59071,-5.50916,6.02484,8.16392
51.9173,4.27686,15.4696,-9.65147,1.39754,9.75213
51.9173,18.6199,3.1482,-0.182166,6.64568,6.64818
51.9173,1.78408,3.34941,-2.03029,-6.41039,6.72423
51.9173,5.80091,13.6684,10.416,2.15892,10.6374
51.9173,14.4691,2.69323,1.21697,-7.66033,7.75639
51.9173,2.4209,10.4831,-1.615,6.62053,6.81467
51.9173,17.3103,8.76532,-2.22056,-11.3812,11.5958
51.9173,15.636,11.7904,-7.24845,-9.20667,11.7176
51.9173,4.7768,3.72443,2.30208,-5.1758,5.66467
51.9173,3.52635,18.7175,-1.15107,-8.10725,8.18856
51.9173,4.36844,6.21865,4.72675,8.82602,10.012
51.9173,13.6418,15.29,1.12774,0.204651,1.14616
51.9173,9.63388,4.55786,1.30773,-2.36399,2.70159
51.9173,9.50983,15.3986,2.9073,-6.06558,6.72634
51.9173,17.6779,6.62305,13.41,-10.7895,17.2116
51.9173,10.6206,6.50764,-12.5875,1.02281,12.629
51.9173,5.9794,1.44466,-8.6766,-3.01602,9.18585
52.2174,11.1791,10.2753,-3.8534,-0.279019,3.86349
52.2174,17.2217,15.0618,-13.4265,4.10395,14.0397
52.2174,13.3082,9.2978,3.81542,-10.2987,10.9827
52.2174,1.1962,5.69481,-4.41488,-4.3808,6.21954
52.2174,2.34792,1.34248,-3.83874,-3.9874,5.53492
52.2174,1.93593,16.0274,4.89465,10.8715,11.9225
52.2174,11.4247,14.8413,3.71244,-6.84617,7.78795
52.2174,8.57757,8.1798,-5.50916,6.02484,8.16392
52.2174,4.65378,15.8094,-4.09754,-7.208,8.29126
52.2174,18.6323,2.69495,-0.182166,6.64568,6.64818
52.2174,2.1273,3.54893,-4.46798,-13.7833,14.4893
52.2174,5.37184,13.086,4.86211,10.7645,11.8116
52.2174,14.3861,3.21568,1.21697,-7.66033,7.75639
52.2174,2.53104,10.0316,-1.615,6.62053,6.81467
52.2174,17.3897,10.0019,-1.13166,-18.3433,18.3782
52.2174,16.1304,12.4183,-7.24845,-9.20667,11.7176
52.2174,4.73489,3.57277,-0.617192,7.60545,7.63045
52.2174,3.60483,18.6445,-1.15055,8.10733,8.18856
52.2174,3.93096,6.12136,7.64603,-3.95523,8.60846
52.2174,13.9898,15.432,-8.58754,-3.35679,9.22029
52.2174,9.45477,4.54551,2.65605,0.238393,2.66673
52.2174,9.31155,15.8123,2.9073,-6.06558,6.72634
52.2174,16.8354,6.89857,12.3211,-3.8273,12.9018
52.2174,11.569,6.61147,-13.9359,-1.57957,14.0251
52.2174,6.57117,1.65036,-8.6766,-3.01602,9.18585
52.5175,10.9252,10.5034,6.21976,-4.35128,7.59072
52.5175,18.1374,14.7819,-13.4265,4.10395,14.0397
52.5175,13.5647,9.79114,-6.25775,-6.22643,8.82767
52.5175,1.24176,6.35887,8.00738,-11.6215,14.113
52.5175,2.60981,1.61365,-3.83988,-3.97597,5.52748
52.5175,1.6021,15.286,4.89465,10.8715,11.9225
52.5175,11.1715,15.3083,3.71244,-6.84617,7.78795
52.5175,8.95331,7.76889,-5.50916,6.02484,8.16392
52.5175,4.93427,16.2995,-5.09071,-5.76916,7.69406
52.5175,18.6448,2.24169,-0.182166,6.64568,6.64818
52.5175,2.60761,4.12055,-8.11074,-6.14021,10.1728
52.5175,5.04023,12.3518,4.86211,10.7645,11.8116
52.5175,14.3031,3.73814,1.21697,-7.66033,7.75639
52.5175,2.64119,9.58006,-1.615,6.62053,6.81467
52.5175,17.5435,11.0951,-5.88218,-8.54431,10.3733
52.5175,16.5481,13.2041,-2.49793,-19.0057,19.1691
52.5175,4.77699,3.05405,-0.617192,7.60545,7.63045
52.5175,3.68228,18.093,-0.157367,6.66849,6.67034
52.5175,3.48936,6.39506,-1.13233,-4.369,4.51335
52.5175,14.5755,15.6609,-8.58754,-3.35679,9.22029
52.5175,9.27362,4.52925,2.65605,0.238393,2.66673
52.5175,9.11326,16.2259,2.9073,-6.06558,6.72634
52.5175,15.9951,7.1596,12.3211,-3.8273,12.9018
52.5175,12.5195,6.7192,-13.9359,-1.57957,14.0251
52.5175,7.16294,1.85607,-8.6766,-3.01602,9.18585
52.8176,10.501,10.8002,6.21976,-4.35128,7.59072
52.8176,18.6947,14.7452,18.3029,0.061118,18.303
52.8176,13.9915,10.2158,-6.25775,-6.22643,8.82767
52.8176,1.39097,7.15147,-8.00777,-11.6212,14.113
52.8176,2.75524,1.83535,3.04879,-1.06251,3.22863
52.8176,1.26827,14.5445,4.89465,10.8715,11.9225
52.8176,10.946,15.763,2.75002,-6.42493,6.98873
